Date,BTC,ETH,ETC,ZEC,DASH,LTC
4/28/2013,134.21,,,,,4.35
4/29/2013,144.54,,,,,4.38
4/30/2013,139,,,,,4.3
5/1/2013,116.99,,,,,3.8
5/2/2013,105.21,,,,,3.37
5/3/2013,97.75,,,,,3.04
5/4/2013,112.5,,,,,3.48
5/5/2013,115.91,,,,,3.59
5/6/2013,112.3,,,,,3.37
5/7/2013,111.5,,,,,3.33
5/8/2013,113.57,,,,,3.41
5/9/2013,112.67,,,,,3.42
5/10/2013,117.2,,,,,3.44
5/11/2013,115.24,,,,,3.35
5/12/2013,115,,,,,3.27
5/13/2013,117.98,,,,,3.28
5/14/2013,111.5,,,,,2.82
5/15/2013,114.22,,,,,2.94
5/16/2013,118.76,,,,,2.92
5/17/2013,123.02,,,,,3.19
5/18/2013,123.5,,,,,3.29
5/19/2013,121.99,,,,,3.3
5/20/2013,122,,,,,3.18
5/21/2013,122.88,,,,,3.09
5/22/2013,123.89,,,,,3.12
5/23/2013,126.7,,,,,3.18
5/24/2013,133.2,,,,,3.18
5/25/2013,131.98,,,,,3.12
5/26/2013,133.48,,,,,3.25
5/27/2013,129.75,,,,,3.1
5/28/2013,129,,,,,3.09
5/29/2013,132.3,,,,,3.1
5/30/2013,128.8,,,,,2.97
5/31/2013,129,,,,,2.96
6/1/2013,129.3,,,,,2.83
6/2/2013,122.29,,,,,2.73
6/3/2013,122.22,,,,,2.73
6/4/2013,121.42,,,,,2.87
6/5/2013,121.65,,,,,2.86
6/6/2013,118,,,,,2.75
6/7/2013,111.5,,,,,2.6
6/8/2013,108.3,,,,,2.56
6/9/2013,100,,,,,2.38
6/10/2013,106.35,,,,,2.49
6/11/2013,108.9,,,,,2.4
6/12/2013,108.15,,,,,2.38
6/13/2013,104,,,,,2.27
6/14/2013,99.98,,,,,2.13
6/15/2013,99.99,,,,,2.11
6/16/2013,99.51,,,,,2.13
6/17/2013,101.7,,,,,2.28
6/18/2013,107.4,,,,,2.31
6/19/2013,108.25,,,,,2.3
6/20/2013,110.15,,,,,2.29
6/21/2013,109.5,,,,,2.87
6/22/2013,108.3,,,,,2.92
6/23/2013,107.6,,,,,3.12
6/24/2013,102.74,,,,,2.87
6/25/2013,103.95,,,,,2.82
6/26/2013,104,,,,,2.86
6/27/2013,101.44,,,,,3.02
6/28/2013,94.65,,,,,2.75
6/29/2013,94.99,,,,,2.79
6/30/2013,96.61,,,,,2.98
7/1/2013,88.05,,,,,2.95
7/2/2013,90.13,,,,,2.83
7/3/2013,77.53,,,,,2.62
7/4/2013,80.53,,,,,2.73
7/5/2013,68.43,,,,,2.43
7/6/2013,70.28,,,,,2.52
7/7/2013,74.56,,,,,2.66
7/8/2013,76.52,,,,,2.61
7/9/2013,76.69,,,,,2.61
7/10/2013,86.76,,,,,2.81
7/11/2013,88.98,,,,,2.73
7/12/2013,93.59,,,,,2.79
7/13/2013,98.13,,,,,2.9
7/14/2013,94.69,,,,,2.91
7/15/2013,98.4,,,,,2.98
7/16/2013,97.45,,,,,3.1
7/17/2013,98.5,,,,,3.15
7/18/2013,90.58,,,,,2.89
7/19/2013,92.17,,,,,2.96
7/20/2013,89.39,,,,,2.86
7/21/2013,90.76,,,,,2.92
7/22/2013,91.61,,,,,2.89
7/23/2013,95.56,,,,,2.99
7/24/2013,94.51,,,,,2.94
7/25/2013,96.9,,,,,2.97
7/26/2013,96.02,,,,,2.9
7/27/2013,94.12,,,,,2.88
7/28/2013,99.76,,,,,2.98
7/29/2013,101.2,,,,,2.96
7/30/2013,107.99,,,,,2.99
7/31/2013,106.09,,,,,2.87
8/1/2013,104,,,,,2.91
8/2/2013,104.5,,,,,2.84
8/3/2013,104,,,,,2.96
8/4/2013,105.14,,,,,3.01
8/5/2013,106.22,,,,,2.83
8/6/2013,106.75,,,,,2.82
8/7/2013,106.75,,,,,2.76
8/8/2013,103,,,,,2.7
8/9/2013,102.8,,,,,2.68
8/10/2013,103,,,,,2.56
8/11/2013,105,,,,,2.69
8/12/2013,106.64,,,,,2.65
8/13/2013,109,,,,,2.74
8/14/2013,112.56,,,,,2.73
8/15/2013,109.99,,,,,2.76
8/16/2013,108.99,,,,,2.72
8/17/2013,113.5,,,,,2.82
8/18/2013,113.5,,,,,2.8
8/19/2013,119,,,,,2.82
8/20/2013,121.2,,,,,2.78
8/21/2013,123.3,,,,,2.7
8/22/2013,121.15,,,,,2.75
8/23/2013,118.5,,,,,2.72
8/24/2013,120.05,,,,,2.69
8/25/2013,122.11,,,,,2.59
8/26/2013,120.06,,,,,2.57
8/27/2013,126.5,,,,,2.57
8/28/2013,122.62,,,,,2.52
8/29/2013,122.39,,,,,2.55
8/30/2013,133.49,,,,,2.66
8/31/2013,135.35,,,,,2.58
9/1/2013,138.34,,,,,2.58
9/2/2013,135.85,,,,,2.56
9/3/2013,136.77,,,,,2.6
9/4/2013,126.74,,,,,2.81
9/5/2013,126.43,,,,,2.75
9/6/2013,119.15,,,,,2.69
9/7/2013,124.15,,,,,2.71
9/8/2013,121.66,,,,,2.73
9/9/2013,127.11,,,,,2.73
9/10/2013,125.91,,,,,2.64
9/11/2013,135.25,,,,,2.72
9/12/2013,133.13,,,,,2.7
9/13/2013,134.98,,,,,2.67
9/14/2013,129.22,,,,,2.54
9/15/2013,130.37,,,,,2.64
9/16/2013,131.72,,,,,2.63
9/17/2013,131.66,,,,,2.6
9/18/2013,131.47,,,,,2.56
9/19/2013,129.65,,,,,2.62
9/20/2013,127.04,,,,,2.48
9/21/2013,127.43,,,,,2.51
9/22/2013,129.12,,,,,2.53
9/23/2013,125.95,,,,,2.47
9/24/2013,127.25,,,,,2.47
9/25/2013,128.22,,,,,2.37
9/26/2013,128.38,,,,,2.39
9/27/2013,133.78,,,,,2.4
9/28/2013,134.78,,,,,2.25
9/29/2013,137.34,,,,,2.3
9/30/2013,133,,,,,2.35
10/1/2013,132.18,,,,,2.42
10/2/2013,114.13,,,,,1.97
10/3/2013,123.63,,,,,2.17
10/4/2013,129.01,,,,,2.2
10/5/2013,128.55,,,,,2.15
10/6/2013,129,,,,,2.17
10/7/2013,126.94,,,,,2.1
10/8/2013,126,,,,,1.98
10/9/2013,130.69,,,,,1.92
10/10/2013,130.59,,,,,2.03
10/11/2013,130.9,,,,,2.07
10/12/2013,135.19,,,,,2.12
10/13/2013,138.13,,,,,2.13
10/14/2013,140.52,,,,,2.05
10/15/2013,145.24,,,,,1.96
10/16/2013,142.55,,,,,1.92
10/17/2013,146.25,,,,,1.91
10/18/2013,155.96,,,,,1.9
10/19/2013,172.42,,,,,1.88
10/20/2013,174.61,,,,,1.93
10/21/2013,182.21,,,,,1.82
10/22/2013,193.76,,,,,1.7
10/23/2013,213.62,,,,,2.05
10/24/2013,198.23,,,,,2.27
10/25/2013,186.69,,,,,2.18
10/26/2013,177.32,,,,,2.21
10/27/2013,196.44,,,,,2.13
10/28/2013,198.55,,,,,2.18
10/29/2013,204.39,,,,,2.13
10/30/2013,199.97,,,,,2.29
10/31/2013,204,,,,,2.36
11/1/2013,206.18,,,,,2.45
11/2/2013,206.22,,,,,2.7
11/3/2013,215.05,,,,,2.88
11/4/2013,229.1,,,,,3.08
11/5/2013,245.24,,,,,3.04
11/6/2013,262.5,,,,,3.39
11/7/2013,296.41,,,,,4.39
11/8/2013,338.11,,,,,4.61
11/9/2013,339.11,,,,,4.22
11/10/2013,326.62,,,,,3.93
11/11/2013,342.44,,,,,4
11/12/2013,360.33,,,,,3.98
11/13/2013,407.37,,,,,4.11
11/14/2013,420.2,,,,,4.29
11/15/2013,417.95,,,,,4.21
11/16/2013,440.22,,,,,4.3
11/17/2013,492.11,,,,,4.09
11/18/2013,703.56,,,,,9.37
11/19/2013,584.61,,,,,8.03
11/20/2013,590.83,,,,,7.98
11/21/2013,722.43,,,,,9.35
11/22/2013,771.44,,,,,10.13
11/23/2013,797.82,,,,,10.61
11/24/2013,774.25,,,,,10.41
11/25/2013,799.11,,,,,12.27
11/26/2013,928.1,,,,,20.35
11/27/2013,1001.96,,,,,39.04
11/28/2013,1031.95,,,,,43.39
11/29/2013,1131.97,,,,,37.74
11/30/2013,1129.43,,,,,40.47
12/1/2013,955.85,,,,,34.74
12/2/2013,1043.33,,,,,33.18
12/3/2013,1078.28,,,,,39.79
12/4/2013,1151.17,,,,,44.73
12/5/2013,1045.11,,,,,37.75
12/6/2013,829.45,,,,,29.84
12/7/2013,698.23,,,,,23.29
12/8/2013,795.87,,,,,27.27
12/9/2013,893.19,,,,,31.57
12/10/2013,988.51,,,,,36.29
12/11/2013,878.48,,,,,30.98
12/12/2013,873.26,,,,,31.59
12/13/2013,892.58,,,,,31.2
12/14/2013,872.6,,,,,30.38
12/15/2013,876.12,,,,,31.28
12/16/2013,705.97,,,,,24.64
12/17/2013,682.12,,,,,21.97
12/18/2013,522.7,,,,,13.39
12/19/2013,691.96,,,,,19.91
12/20/2013,625.32,,,,,17.57
12/21/2013,605.66,,,,,16.73
12/22/2013,617.18,,,,,16.86
12/23/2013,673.41,,,,,17.89
12/24/2013,665.58,,,,,17.64
12/25/2013,682.21,,,,,21.15
12/26/2013,761.98,,,,,24.76
12/27/2013,735.07,,,,,23.27
12/28/2013,727.83,,,,,22.56
12/29/2013,745.05,,,,,24.07
